#,Kind,Network characteristic,Spearman correlation,P value,Top3
BFE,substitution,co-conservation,0.2286987305810796,0.009137131104261,"67A-969N(5.34),67A-796D(5.51),796D-969N(5.66)"
BFE,substitution,edge centrality,-0.2117179828583093,0.0160129911507878,"67A-969N(5.34),67A-796D(5.51),796D-969N(5.66)"
BFE,variant,average shortest length in sampled data,0.1330671132294216,0.439122580846091,"A.27(6.09),BA.5(Omicron)(6.12),BA.4(Omicron)(6.12)"
BFE,variant,average shortest length in variant,0.1500708488986216,0.3823307407158713,"A.27(6.09),BA.5(Omicron)(6.12),BA.4(Omicron)(6.12)"
BFE,variant,closeness centrality,-0.0730387736699729,0.6720524171858628,"A.27(6.09),BA.5(Omicron)(6.12),BA.4(Omicron)(6.12)"
BFE,variant,co-conservation,0.8674033149171271,0.0001225877082726,"A.27(6.09),B.1.1.7+L452R(6.09),BA.1(Omicron)(6.82)"
BFE,variant,degree,0.5794935562609936,0.0002125909886869,"A.27(6.09),BA.5(Omicron)(6.12),BA.4(Omicron)(6.12)"
BFE,variant,degree centrality,0.5534357721077023,0.0004632745119809,"A.27(6.09),BA.5(Omicron)(6.12),BA.4(Omicron)(6.12)"
BFE,variant,edge centrality,-0.8258318791426512,0.0005050351098633,"A.27(6.09),B.1.1.7+L452R(6.09),BA.1(Omicron)(6.82)"
BFE,variant,page rank,0.4955558418137319,0.002117646138662,"A.27(6.09),BA.5(Omicron)(6.12),BA.4(Omicron)(6.12)"
stability,substitution,co-conservation,0.0041429236853922,0.9608335805364212,"95T-142G(-2.98),142G-501N(-2.88),376T-405D(-1.53)"
stability,substitution,edge centrality,-0.0452159379142513,0.5917976642668547,"95T-142G(-2.98),142G-501N(-2.88),376T-405D(-1.53)"
stability,variant,average shortest length in sampled data,0.4874718206569775,0.0025654044989637,"C.37(Lambda)(-1.18),A.27(-1.08),B.1.525(Eta)(-0.90)"
stability,variant,average shortest length in variant,0.5073107901023196,0.0015887802766628,"C.37(Lambda)(-1.18),A.27(-1.08),B.1.525(Eta)(-0.90)"
stability,variant,closeness centrality,-0.4351690830283482,0.0079895521633827,"C.37(Lambda)(-1.18),A.27(-1.08),B.1.525(Eta)(-0.90)"
stability,variant,co-conservation,0.5139265326814911,0.0500266120081742,"AY.4.2(-1.35),AV.1(-1.11),A.27(-0.96)"
stability,variant,degree,0.0309358123099786,0.8578537670359361,"C.37(Lambda)(-1.18),A.27(-1.08),B.1.525(Eta)(-0.90)"
stability,variant,degree centrality,-0.0308128743743205,0.858412939402024,"C.37(Lambda)(-1.18),A.27(-1.08),B.1.525(Eta)(-0.90)"
stability,variant,edge centrality,-0.5521555770645824,0.032824433940206,"AY.4.2(-1.35),AV.1(-1.11),A.27(-0.96)"
stability,variant,page rank,0.2416747186978038,0.1556009368927682,"C.37(Lambda)(-1.18),A.27(-1.08),B.1.525(Eta)(-0.90)"
