,name1,name2,pearsonr correlation,pearsonr p,spearmanr correlation,spearmanr p,total data,not null data,top3
0,BFE,conservation,-0.04679554937643208,0.7959467629382474,0.1054566728842772,0.5591690088461747,33,33,"B.1.1.519(7.54),P.2(Zeta)(7.45),B.1.351(Beta)(7.42)"
1,BFE,page rank,0.23455433119837904,0.18888812587002088,0.21022727272727276,0.24028384773342706,33,33,"B.1.1.519(7.54),P.2(Zeta)(7.45),B.1.351(Beta)(7.42)"
2,BFE,degree centrality,0.22130190530677013,0.21583485061401467,0.31703852371073504,0.0722212141011585,33,33,"B.1.1.519(7.54),P.2(Zeta)(7.45),B.1.351(Beta)(7.42)"
3,BFE,betweenness centrality,0.05434329126731083,0.7639000225924638,0.03542780748663102,0.8448205578157595,33,33,"B.1.1.519(7.54),P.2(Zeta)(7.45),B.1.351(Beta)(7.42)"
4,BFE,closeness centrality,-0.19551132284587852,0.2755430039404026,-0.007018716577540108,0.9690775819028417,33,33,"B.1.1.519(7.54),P.2(Zeta)(7.45),B.1.351(Beta)(7.42)"
5,stability,conservation,0.274972729386391,0.12144958798545925,0.2543661745322819,0.15314794319566036,33,33,"C.37(Lambda)(-1.92),B.1.427(Epsilon)(-1.48),AY.4.2(-1.38)"
6,stability,page rank,-0.1307680850460909,0.4682287879518441,-0.2449866310160428,0.1694037865347705,33,33,"C.37(Lambda)(-1.92),B.1.427(Epsilon)(-1.48),AY.4.2(-1.38)"
7,stability,degree centrality,-0.10582934276573433,0.5577733864642526,-0.22963148738985237,0.1986077258102491,33,33,"C.37(Lambda)(-1.92),B.1.427(Epsilon)(-1.48),AY.4.2(-1.38)"
8,stability,betweenness centrality,-0.14179323389084283,0.43121047925043715,0.017045454545454548,0.9249901786454771,33,33,"C.37(Lambda)(-1.92),B.1.427(Epsilon)(-1.48),AY.4.2(-1.38)"
9,stability,closeness centrality,-0.15309490889751198,0.39500090462417664,-0.2847593582887701,0.10823051408866677,33,33,"C.37(Lambda)(-1.92),B.1.427(Epsilon)(-1.48),AY.4.2(-1.38)"
